"File Name","Global Clustering Coefficient","Average Network Clustering Coefficient","Edge Ratio","Pearson's Correlation Coefficient"
polbooks.xml,0.002987303958177745,0.4875267912317314,0.8412698412698413,0.965052973648346
polbooks_rand_1.xml,5.921263202816601E-4,0.08923082208796491,0.39909297052154197,0.8067644929877534
polbooks_rand_2.xml,4.854368932038835E-4,0.06706688466086959,0.38095238095238093,0.7628168823497842
polbooks_rand_3.xml,5.281126640349942E-4,0.0813748156605299,0.3832199546485261,0.7681180441967094
polbooks_rand_4.xml,4.000853515416622E-4,0.06387570101855812,0.38095238095238093,0.7161365734318346
polbooks_rand_5.xml,4.854368932038835E-4,0.07436965151250863,0.41950113378684806,0.6952087043551886
polbooks_rand_6.xml,5.387816067427718E-4,0.09061449132877698,0.39909297052154197,0.7784115931615735
polbooks_rand_7.xml,4.7476795049610583E-4,0.06866556723699581,0.41723356009070295,0.7006980371610497
polbooks_rand_8.xml,5.067747786194388E-4,0.08160204874490587,0.3968253968253968,0.7195166624286061
polbooks_rand_9.xml,5.281126640349942E-4,0.08953208167493881,0.41496598639455784,0.7598136096232609
polbooks_rand_10.xml,5.921263202816601E-4,0.09670995981920348,0.40589569160997735,0.7889458229555929
polbooks_rand_11.xml,4.1075429424943985E-4,0.06823110751682177,0.4217687074829932,0.6502481828272494
polbooks_rand_12.xml,5.441160780966606E-4,0.07912061483490052,0.3922902494331066,0.7959221085394774
polbooks_rand_13.xml,5.014403072655499E-4,0.0752598195455338,0.3968253968253968,0.748238490288514
polbooks_rand_14.xml,5.014403072655499E-4,0.07822566322566321,0.3945578231292517,0.7417513873911933
polbooks_rand_15.xml,5.494505494505495E-4,0.08638080562450307,0.39909297052154197,0.7462696867484262
polbooks_rand_16.xml,5.33447135388883E-4,0.07886816886816883,0.3854875283446712,0.7323062467286212
polbooks_rand_17.xml,5.761229062199936E-4,0.09019224006618957,0.3764172335600907,0.794934888065324
polbooks_rand_18.xml,5.067747786194388E-4,0.07598280026851452,0.4126984126984127,0.660090577315301
polbooks_rand_19.xml,4.320921796649952E-4,0.066490810776525,0.42403628117913833,0.7487434598586401
polbooks_rand_20.xml,5.494505494505495E-4,0.08061943347657628,0.3968253968253968,0.7613738745201597
polbooks_rand_21.xml,4.8010242184999465E-4,0.07502730074158644,0.3786848072562358,0.6865471235891871
polbooks_rand_22.xml,4.4809559372666166E-4,0.06751618751618746,0.3945578231292517,0.7766922399509358
polbooks_rand_23.xml,5.441160780966606E-4,0.07949513449513444,0.42403628117913833,0.7967212455580882
polbooks_rand_24.xml,4.5876453643443936E-4,0.07115618897131498,0.4217687074829932,0.7328622123282832
polbooks_rand_25.xml,4.961058359116611E-4,0.083875912447341,0.3741496598639456,0.7040971023840161
polbooks_rand_26.xml,6.081297343433266E-4,0.08823212113128075,0.42403628117913833,0.7767593065053444
polbooks_rand_27.xml,5.441160780966606E-4,0.08293812940871763,0.4036281179138322,0.7905655117857281
polbooks_rand_28.xml,5.121092499733277E-4,0.07720670863528002,0.3900226757369615,0.6724007943634271
polbooks_rand_29.xml,5.867918489277712E-4,0.09042948492528319,0.42403628117913833,0.7615383601053805
polbooks_rand_30.xml,5.33447135388883E-4,0.08188092330949467,0.4013605442176871,0.7398540372464677
polbooks_rand_31.xml,5.387816067427718E-4,0.0801510394367537,0.4331065759637188,0.7958500100502268
polbooks_rand_32.xml,5.387816067427718E-4,0.08227912299340862,0.3741496598639456,0.7914582593594076
polbooks_rand_33.xml,5.174437213272165E-4,0.07567327785815178,0.3900226757369615,0.7466802327010174
polbooks_rand_34.xml,5.867918489277712E-4,0.0842534185391328,0.41043083900226757,0.7908900433481318
polbooks_rand_35.xml,5.281126640349942E-4,0.08452906881478305,0.35600907029478457,0.6975346134533854
polbooks_rand_36.xml,6.56139976528326E-4,0.09576096140005912,0.41950113378684806,0.756701238626109
polbooks_rand_37.xml,5.33447135388883E-4,0.07998887356030211,0.3492063492063492,0.7607840586850563
polbooks_rand_38.xml,5.067747786194388E-4,0.07481896410467838,0.3832199546485261,0.6888013507633252
polbooks_rand_39.xml,5.33447135388883E-4,0.07935273720988001,0.3900226757369615,0.7483242083700633
polbooks_rand_40.xml,5.387816067427718E-4,0.08488051630908768,0.3832199546485261,0.8083590147460422
polbooks_rand_41.xml,5.441160780966606E-4,0.08620691477834332,0.3922902494331066,0.7169852435720045
polbooks_rand_42.xml,5.33447135388883E-4,0.07774365845794415,0.3968253968253968,0.7691526192428794
polbooks_rand_43.xml,4.5876453643443936E-4,0.07960996675282385,0.4036281179138322,0.6757056762210002
polbooks_rand_44.xml,4.8010242184999465E-4,0.0709482580911152,0.4308390022675737,0.7205951881777377
polbooks_rand_45.xml,6.081297343433266E-4,0.10324751656684426,0.3832199546485261,0.7472738782547373
polbooks_rand_46.xml,4.907713645577723E-4,0.0754684468970183,0.39909297052154197,0.6353355993566973
polbooks_rand_47.xml,5.33447135388883E-4,0.0832300146165692,0.3741496598639456,0.7794701564086235
polbooks_rand_48.xml,5.387816067427718E-4,0.08656800871086583,0.3741496598639456,0.7417122154776664
polbooks_rand_49.xml,5.654539635122159E-4,0.08147744567912629,0.39909297052154197,0.7905652437527558
polbooks_rand_50.xml,5.174437213272165E-4,0.0767169867169867,0.3741496598639456,0.7573280751101559
