Bin,Frequency
0,0
0.00001,0
0.00002,0
0.00003,0
0.00004,3
0.00005,6
0.00006,3
0.00007,7
0.00008,6
0.00009,2
0.0001,10
0.00011,2
0.00012,5
0.00013,2
0.00014,0
0.00015,2
0.00016,1
0.00017,0
0.00018,0
0.00019,0
0.0002,0
0.00021,1
0.003,1
